Company,Date,Total Assets,Total Liabilities,Common Equity - Total,Total Current Assets,Total Current Liabilities,Inventories - Total,Net Cash Flow from Operating Activities,Net Income after Tax,Income Available to Common Shares,Gross Profit Margin - %,Revenue from Business Activities - Total
DGW.HM,3/31/2022,6.66924E+12,4.67424E+12,1.99292E+12,6.38067E+12,4.6633E+12,3.51223E+12,-1.81436E+12,2.10837E+11,2.10838E+11,6.65534,7.0087E+12
DGW.HM,6/30/2022,6.13652E+12,4.07611E+12,2.05829E+12,5.85292E+12,4.06627E+12,3.39661E+12,3.54956E+11,1.36921E+11,1.36885E+11,6.52174,4.91016E+12
DGW.HM,9/30/2022,6.6098E+12,4.36909E+12,2.2386E+12,6.07624E+12,4.35914E+12,2.72312E+12,52370572938,1.80293E+11,1.80306E+11,6.69318,6.06522E+12
DGW.HM,12/31/2022,6.35542E+12,3.93214E+12,2.39436E+12,5.78235E+12,3.88227E+12,3.25434E+12,3.44308E+11,1.55551E+11,1.55754E+11,11.63337,4.04405E+12
DGW.HM,3/31/2023,5.91635E+12,3.41116E+12,2.47374E+12,5.37905E+12,3.3789E+12,3.03277E+12,-5.2283E+11,81908484036,79389136337,6.5843,3.95993E+12
DGW.HM,6/30/2023,6.55964E+12,4.0065E+12,2.52989E+12,6.02342E+12,3.98565E+12,2.59294E+12,4.81172E+11,87136091905,83016354849,8.55076,4.59581E+12
DGW.HM,9/30/2023,7.00315E+12,4.34671E+12,2.6323E+12,6.4837E+12,4.32605E+12,2.24857E+12,7.4577E+11,1.03301E+11,1.02415E+11,7.10986,5.41276E+12
DGW.HM,12/31/2023,7.45903E+12,4.83218E+12,2.59438E+12,6.80246E+12,4.816E+12,3.01649E+12,-1.39985E+11,90245185604,89571686126,10.74341,4.84898E+12
DGW.HM,3/31/2024,6.90238E+12,4.18298E+12,2.68622E+12,6.2872E+12,4.16874E+12,2.94484E+12,-6.70125E+11,93180739226,92468965571,7.78594,4.985E+12
DGW.HM,6/30/2024,7.35509E+12,4.54686E+12,2.77588E+12,6.75334E+12,4.53441E+12,2.90841E+12,-2.20844E+11,87599263235,89061607257,9.27162,5.00801E+12
DGW.HM,9/30/2024,7.87087E+12,5.03025E+12,2.81106E+12,7.18649E+12,5.01538E+12,2.85986E+12,4.04781E+11,1.21042E+11,1.2175E+11,9.6702,6.22597E+12
